"text","created","longitude","latitude","tag"
"RT @forza_will2006: My heart aches for the people of France. #PorteOuverte #PrayForParis #DownWithTerrorism #Pompidou‚Ä¶ https://t.co/KwtNPsQ‚Ä¶",2015-11-15 01:27:56,NA,NA,"#PorteOuverte"
"Ensemble contre la haine #jesuisparis #porteouverte #paris @ Place de la Republique https://t.co/TZykpVJHwd",2015-11-14 22:19:47,2.36418438,48.86746503,"#PorteOuverte"
"Libert√©, √©galit√©, fraternit√© #Par√≠s #TodosSomosPar√≠s #JeSuisParis #PorteOuverte #peace #paix #paz‚Ä¶ https://t.co/AjYVrmCCnL",2015-11-14 21:36:06,2.3508,48.8567,"#PorteOuverte"
"Stay With My French #prayforparis #parisattacks #porteouverte #france #riphumanity #liberte #egalit√©‚Ä¶ https://t.co/9DH5diHmyz",2015-11-14 21:00:49,2.3508,48.8567,"#PorteOuverte"
"#PorteOuverte #notinmyname #jesuischarlie #france #imwithfrance #solidarit√© #prayforparis #Ì†ºÌ∑´Ì†ºÌ∑∑ @‚Ä¶ https://t.co/ARYwO0W1Gf",2015-11-14 20:11:01,2.3508,48.8567,"#PorteOuverte"
"RT @bodoi_music: J'ai peur je cherche un abri #porteouverte https://t.co/1DIr4VLOEa",2015-11-14 19:52:43,NA,NA,"#PorteOuverte"
"J'ai peur je cherche un abri #porteouverte https://t.co/1DIr4VLOEa",2015-11-14 19:50:47,2.43345571,48.84285857,"#PorteOuverte"
"RT @wuauwau: We love France!! #paix #paris #parisjetaime #francia #france #instaparis #porteouverte #isis‚Ä¶ https://t.co/YvAau5u523",2015-11-14 18:36:25,NA,NA,"#PorteOuverte"
"RT @wuauwau: We love France!! #paix #paris #parisjetaime #francia #france #instaparis #porteouverte #isis‚Ä¶ https://t.co/YvAau5u523",2015-11-14 18:25:03,NA,NA,"#PorteOuverte"
"RT @MarieClaire_it: Nous sommes la libert√© #parisattack #prayforparis #porteouverte @ Place de la Republique https://t.co/e87yt0JSUQ",2015-11-14 18:24:50,NA,NA,"#PorteOuverte"
"#13Ekim2015 #Fransa #france #paris #PorteOuverte (kapƒ± a√ßik) 
#World #D√ºnya 
Biz M√ºsl√ºmanlara‚Ä¶ https://t.co/VqhIDWl32R",2015-11-14 17:41:03,2.3508,48.8567,"#PorteOuverte"
"Nous sommes la libert√© #parisattack #prayforparis #porteouverte @ Place de la Republique https://t.co/e87yt0JSUQ",2015-11-14 17:05:59,2.36418438,48.86746503,"#PorteOuverte"
"I will not stop praying for Paris.  #PorteOuverte @ Paris, France https://t.co/MyGe1KoN3s",2015-11-14 15:58:47,2.3508,48.8567,"#PorteOuverte"
"#attentat #paris #night #france #terroriste #porteouverte #alerte #bataclan @ Paris, France https://t.co/yIuMQe5gpm",2015-11-14 14:25:24,2.3508,48.8567,"#PorteOuverte"
"RT @IamDylan93: @Roxane_tlm @LounesNtm ok c'est #PorteOuverte chez toi ? Je ne suis pas en securit√©",2015-11-14 14:01:31,NA,NA,"#PorteOuverte"
"RT @IamDylan93: @Roxane_tlm @LounesNtm ok c'est #PorteOuverte chez toi ? Je ne suis pas en securit√©",2015-11-14 14:00:23,NA,NA,"#PorteOuverte"
"@Roxane_tlm @LounesNtm ok c'est #PorteOuverte chez toi ? Je ne suis pas en securit√©",2015-11-14 13:59:50,2.39066247,48.91763459,"#PorteOuverte"
"Aqu√≠ el regalo de nuestros amigos del ISIS a 500m de mi apartamento #paris #porteouverte #jesuisparis‚Ä¶ https://t.co/lpUd4o0xRA",2015-11-14 13:45:07,2.36418438,48.86746503,"#PorteOuverte"
"#porteouverte #prayforparis @ Paris, France https://t.co/PA8a2JAVRH",2015-11-14 13:39:11,2.3508,48.8567,"#PorteOuverte"
"#porteouverte #paris #france #jesuisparis @ Paris, France https://t.co/g2FDKzx4CW",2015-11-14 12:55:00,2.3508,48.8567,"#PorteOuverte"
"RT @MarieClaire_it: Parigi il giorno dopo #prayforparis #porteouverte #parisattack @ Arch De Triumph https://t.co/i7goKKf9ck",2015-11-14 11:59:12,NA,NA,"#PorteOuverte"
"Parigi il giorno dopo #prayforparis #porteouverte #parisattack @ Arch De Triumph https://t.co/i7goKKf9ck",2015-11-14 11:55:14,2.36048396,48.86669507,"#PorteOuverte"
"RT @fake_rebel: Si jamais quelqu‚Äôun a besoin, #porteouverte Metro Mara√Æchers (L‚Äôappart est vide car on a sign√© le bail il y a 1h, mais on e‚Ä¶",2015-11-14 11:49:44,NA,NA,"#PorteOuverte"
"RT @MarieClaire_it: Parigi il giorno dopo #parisattack #porteouverte #prayforparis @ Place de la Republique https://t.co/fA03V3xJII",2015-11-14 11:43:42,NA,NA,"#PorteOuverte"
"RT @MarieClaire_it: Only silence in Paris #prayforparis #porteouverte  Ì†ΩÌµä @ Canal Saint-Martin https://t.co/SR2OuAUAB9",2015-11-14 11:43:40,NA,NA,"#PorteOuverte"
"RT @MarieClaire_it: Only silence in Paris #prayforparis #porteouverte  Ì†ΩÌµä @ Canal Saint-Martin https://t.co/SR2OuAUAB9",2015-11-14 11:38:36,NA,NA,"#PorteOuverte"
"RT @fake_rebel: Si jamais quelqu‚Äôun a besoin, #porteouverte Metro Mara√Æchers (L‚Äôappart est vide car on a sign√© le bail il y a 1h, mais on e‚Ä¶",2015-11-14 11:14:08,NA,NA,"#PorteOuverte"
"Une nuit noire pour #Paris. #pray #porteouverte #jesuisfrancais #prayers4paris #photo #toureiffel‚Ä¶ https://t.co/XHr9oVSzVF",2015-11-14 11:02:04,2.3508,48.8567,"#PorteOuverte"
"RT @MarieClaire_it: Parigi il giorno dopo #parisattack #porteouverte #prayforparis @ Place de la Republique https://t.co/fA03V3xJII",2015-11-14 10:40:35,NA,NA,"#PorteOuverte"
"Parigi il giorno dopo #parisattack #porteouverte #prayforparis @ Place de la Republique https://t.co/fA03V3xJII",2015-11-14 10:33:21,2.36418438,48.86746503,"#PorteOuverte"
"#PrayForParis #porteouverte @ Paris, France https://t.co/4T0z9vC38R",2015-11-14 10:31:46,2.3508,48.8567,"#PorteOuverte"
"RT @MarieClaire_it: Only silence in Paris #prayforparis #porteouverte  Ì†ΩÌµä @ Canal Saint-Martin https://t.co/SR2OuAUAB9",2015-11-14 10:04:56,NA,NA,"#PorteOuverte"
