A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,1/1/2017 0:00,2017,1,1,0,505,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 1:00,2017,1,1,1,485,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 2:00,2017,1,1,2,466,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 3:00,2017,1,1,3,435,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 4:00,2017,1,1,4,405,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 5:00,2017,1,1,5,402,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 6:00,2017,1,1,6,407,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 7:00,2017,1,1,7,435,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 8:00,2017,1,1,8,472,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 9:00,2017,1,1,9,465,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 10:00,2017,1,1,10,473,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 11:00,2017,1,1,11,456,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 12:00,2017,1,1,12,474,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 13:00,2017,1,1,13,510,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 14:00,2017,1,1,14,596,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 15:00,2017,1,1,15,580,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 16:00,2017,1,1,16,556,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 17:00,2017,1,1,17,522,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 18:00,2017,1,1,18,495,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 19:00,2017,1,1,19,500,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 20:00,2017,1,1,20,484,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 21:00,2017,1,1,21,452,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 22:00,2017,1,1,22,427,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2017 23:00,2017,1,1,23,444,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 0:00,2017,1,2,0,428,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 1:00,2017,1,2,1,466,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 2:00,2017,1,2,2,452,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 3:00,2017,1,2,3,442,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 4:00,2017,1,2,4,390,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 5:00,2017,1,2,5,317,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 6:00,2017,1,2,6,139,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 7:00,2017,1,2,7,93,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 8:00,2017,1,2,8,27,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 9:00,2017,1,2,9,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 10:00,2017,1,2,10,22,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 11:00,2017,1,2,11,26,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 12:00,2017,1,2,12,193,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 13:00,2017,1,2,13,251,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 14:00,2017,1,2,14,174,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 15:00,2017,1,2,15,271,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 16:00,2017,1,2,16,251,µg/m³,1 Hr,Valid
