day,deaths
1/1/08,296
1/2/08,274
1/3/08,339
1/4/08,300
1/5/08,327
1/6/08,332
1/7/08,361
1/8/08,303
1/9/08,312
1/10/08,330
1/11/08,306
1/12/08,328
1/13/08,304
1/14/08,303
1/15/08,273
1/16/08,280
1/17/08,308
1/18/08,305
1/19/08,325
1/20/08,289
1/21/08,308
1/22/08,326
1/23/08,325
1/24/08,302
1/25/08,305
1/26/08,289
1/27/08,233
1/28/08,297
1/29/08,321
1/30/08,290
1/31/08,308
2/1/08,293
2/2/08,288
2/3/08,283
2/4/08,300
2/5/08,263
2/6/08,309
2/7/08,264
2/8/08,279
2/9/08,248
2/10/08,276
2/11/08,262
2/12/08,252
2/13/08,258
2/14/08,280
2/15/08,336
2/16/08,307
2/17/08,326
2/18/08,296
2/19/08,254
2/20/08,270
2/21/08,262
2/22/08,269
2/23/08,253
2/24/08,240
2/25/08,298
2/26/08,274
2/27/08,243
2/28/08,258
2/29/08,277
3/1/08,290
3/2/08,270
3/3/08,273
3/4/08,261
3/5/08,248
3/6/08,260
3/7/08,256
3/8/08,246
3/9/08,271
3/10/08,260
3/11/08,280
3/12/08,297
3/13/08,238
3/14/08,282
3/15/08,306
3/16/08,307
3/17/08,302
3/18/08,275
3/19/08,285
3/20/08,259
3/21/08,247
3/22/08,266
3/23/08,264
3/24/08,258
3/25/08,276
3/26/08,292
3/27/08,267
3/28/08,278
3/29/08,297
3/30/08,267
3/31/08,271
4/1/08,281
4/2/08,264
4/3/08,266
4/4/08,274
4/5/08,258
4/6/08,255
4/7/08,290
4/8/08,284
4/9/08,274
4/10/08,236
4/11/08,294
4/12/08,288
4/13/08,228
4/14/08,254
4/15/08,260
4/16/08,291
4/17/08,253
4/18/08,263
4/19/08,263
4/20/08,274
4/21/08,268
4/22/08,275
4/23/08,282
4/24/08,253
4/25/08,261
4/26/08,291
4/27/08,240
4/28/08,274
4/29/08,238
4/30/08,217
5/1/08,240
5/2/08,280
5/3/08,282
5/4/08,293
5/5/08,263
5/6/08,286
5/7/08,255
5/8/08,275
5/9/08,315
5/10/08,275
5/11/08,304
5/12/08,303
5/13/08,253
5/14/08,260
5/15/08,263
5/16/08,299
5/17/08,255
5/18/08,259
5/19/08,230
5/20/08,227
5/21/08,260
5/22/08,261
5/23/08,251
5/24/08,269
5/25/08,250
5/26/08,242
5/27/08,246
5/28/08,241
5/29/08,212
5/30/08,259
5/31/08,250
6/1/08,241
6/2/08,266
6/3/08,201
6/4/08,250
6/5/08,267
6/6/08,236
6/7/08,257
6/8/08,255
6/9/08,235
6/10/08,232
6/11/08,212
6/12/08,226
6/13/08,249
6/14/08,253
6/15/08,250
6/16/08,242
6/17/08,231
6/18/08,245
6/19/08,234
6/20/08,273
6/21/08,241
6/22/08,236
6/23/08,252
6/24/08,235
6/25/08,262
6/26/08,264
6/27/08,254
6/28/08,238
6/29/08,236
6/30/08,248
7/1/08,240
7/2/08,221
7/3/08,263
7/4/08,238
7/5/08,269
7/6/08,247
7/7/08,249
7/8/08,277
7/9/08,243
7/10/08,250
7/11/08,244
7/12/08,270
7/13/08,287
7/14/08,268
7/15/08,253
7/16/08,268
7/17/08,230
7/18/08,264
7/19/08,295
7/20/08,268
7/21/08,269
7/22/08,260
7/23/08,247
7/24/08,269
7/25/08,266
7/26/08,253
7/27/08,237
7/28/08,250
7/29/08,276
7/30/08,231
7/31/08,265
8/1/08,243
8/2/08,226
8/3/08,248
8/4/08,237
8/5/08,270
8/6/08,248
8/7/08,233
8/8/08,263
8/9/08,256
8/10/08,262
8/11/08,253
8/12/08,253
8/13/08,255
8/14/08,238
8/15/08,251
8/16/08,217
8/17/08,272
8/18/08,224
8/19/08,283
8/20/08,246
8/21/08,253
8/22/08,247
8/23/08,259
8/24/08,273
8/25/08,280
8/26/08,268
8/27/08,265
8/28/08,222
8/29/08,262
8/30/08,243
8/31/08,236
9/1/08,250
9/2/08,246
9/3/08,252
9/4/08,272
9/5/08,239
9/6/08,264
9/7/08,228
9/8/08,246
9/9/08,249
9/10/08,265
9/11/08,278
9/12/08,269
9/13/08,243
9/14/08,233
9/15/08,269
9/16/08,274
9/17/08,284
9/18/08,258
9/19/08,239
9/20/08,274
9/21/08,256
9/22/08,272
9/23/08,276
9/24/08,290
9/25/08,272
9/26/08,272
9/27/08,295
9/28/08,284
9/29/08,256
9/30/08,276
10/1/08,270
10/2/08,264
10/3/08,276
10/4/08,278
10/5/08,274
10/6/08,308
10/7/08,263
10/8/08,268
10/9/08,251
10/10/08,249
10/11/08,265
10/12/08,268
10/13/08,275
10/14/08,250
10/15/08,254
10/16/08,255
10/17/08,267
10/18/08,293
10/19/08,259
10/20/08,289
10/21/08,276
10/22/08,273
10/23/08,285
10/24/08,293
10/25/08,310
10/26/08,311
10/27/08,281
10/28/08,267
10/29/08,301
10/30/08,292
10/31/08,266
11/1/08,258
11/2/08,324
11/3/08,300
11/4/08,333
11/5/08,307
11/6/08,301
11/7/08,281
11/8/08,315
11/9/08,306
11/10/08,298
11/11/08,294
11/12/08,263
11/13/08,271
11/14/08,281
11/15/08,269
11/16/08,304
11/17/08,292
11/18/08,289
11/19/08,331
11/20/08,302
11/21/08,273
11/22/08,294
11/23/08,367
11/24/08,300
11/25/08,309
11/26/08,331
11/27/08,309
11/28/08,335
11/29/08,310
11/30/08,329
12/1/08,307
12/2/08,292
12/3/08,332
12/4/08,284
12/5/08,299
12/6/08,332
12/7/08,280
12/8/08,294
12/9/08,317
12/10/08,320
12/11/08,286
12/12/08,330
12/13/08,331
12/14/08,329
12/15/08,299
12/16/08,309
12/17/08,285
12/18/08,321
12/19/08,306
12/20/08,300
12/21/08,364
12/22/08,330
12/23/08,298
12/24/08,264
12/25/08,344
12/26/08,339
12/27/08,289
12/28/08,327
12/29/08,299
12/30/08,312
12/31/08,312
