day,temp_min,temp_max,temp_mean,humidity,wind,NO,NO2,NOX,O3,CO,SO2,PM10,PM25
1/1/08,7.8,17.8,11.77083333,53.45833333,2.6625,0.00925,0.018708333,0.027833333,NA,NA,0.004875,92.5,92.5
1/2/08,2.6,9.8,6.6375,61.70833333,3.345833333,0.005416667,0.018708333,0.024083333,0.020083333,0.729166667,4.17E-05,NA,NA
1/3/08,1.1,15.6,7.041666667,59.91666667,1.885714286,0.015958333,0.038083333,0.053958333,0.018416667,1.408333333,0.008958333,NA,NA
1/4/08,3.1,20.6,10.8625,57.54166667,1.195833333,0.040833333,0.058375,0.099291667,0.0215,1.883333333,0.021166667,93.66666667,93.66666667
1/5/08,6,21.3,13.40416667,45.70833333,0.9875,0.046916667,0.060166667,0.107125,0.023875,3.3625,0.020791667,108.25,108.25
1/6/08,7.2,22.1,14.34166667,40.75,0.854166667,0.028583333,0.051,0.079458333,0.024916667,2.879166667,0.011291667,84.58333333,84.58333333
1/7/08,7.2,21.8,14.78333333,39.58333333,1.066666667,0.052166667,0.045708333,0.097833333,NA,NA,0.0075,61.16666667,61.16666667
1/8/08,8.1,22.6,15.36666667,40.91666667,1.133333333,0.044125,0.048041667,0.092,0.021333333,2.05,0.007458333,73.875,73.875
1/9/08,8.4,22.3,15.49166667,40.70833333,1.50952381,0.01925,0.038,0.057125,0.021,1.770833333,0.008375,73.70833333,73.70833333
1/10/08,9.2,22.5,15.55416667,42.29166667,1.10952381,0.0475,0.057125,0.104416667,0.026666667,2.204166667,0.007958333,78.29166667,78.29166667
1/11/08,8.7,23.6,15.30416667,41.25,1.291666667,0.052333333,0.0485,0.100875,0.0195,2.108333333,NA,93.25,93.25
1/12/08,8.6,21.6,15.26666667,41.70833333,1.25,0.050708333,0.044625,0.09525,0.018041667,2.283333333,NA,NA,NA
1/13/08,7.7,19.3,13.38333333,52.70833333,1.6375,0.009125,0.034083333,0.043375,0.025166667,1.0625,NA,62.04166667,62.04166667
1/14/08,8.9,20.5,14.19583333,48.95833333,1.291666667,0.038916667,0.037208333,0.076041667,NA,NA,NA,63.91666667,63.91666667
1/15/08,9.3,18.6,13.35,54.66666667,1.458333333,NA,NA,NA,NA,NA,NA,58.08333333,58.08333333
1/16/08,11.2,20.8,14.9875,43.58333333,2.254166667,NA,NA,NA,0.012166667,1.108333333,0.004416667,NA,NA
1/17/08,8.5,21.1,14.92083333,46.625,1.761904762,0.038,0.019416667,0.05725,0.007041667,1.733333333,0.00425,37.45833333,37.45833333
1/18/08,9.4,20.4,14.28333333,45.625,1.5375,0.062125,0.025708333,0.087625,NA,NA,0.005875,NA,NA
1/19/08,9.9,19.3,13.58333333,47.54166667,1.454166667,0.039166667,0.032833333,0.072083333,NA,NA,0.00825,58.66666667,58.66666667
1/20/08,6.3,17.9,12.03333333,62.08333333,1.441666667,NA,NA,NA,0.012458333,1.379166667,0.025916667,NA,NA
1/21/08,7.4,21.2,14.2625,50.5,1.0625,0.054958333,0.051333333,0.106458333,NA,NA,NA,NA,NA
1/22/08,8.5,23.3,15.99166667,42.70833333,1.565,0.029875,0.040958333,0.070833333,NA,NA,0.009083333,NA,NA
1/23/08,9.8,24.1,16.54736842,NA,1.011111111,NA,NA,NA,0.0285,1.991666667,0.010791667,95.45833333,95.45833333
1/24/08,14,24.8,19.76666667,NA,2.122222222,NA,NA,NA,NA,2.166666667,0.015208333,78.08333333,78.08333333
1/25/08,9.1,22.5,15.975,49.33333333,1.175,0.046583333,0.045416667,0.092,NA,1.616666667,0.03775,78.41666667,78.41666667
1/26/08,9.6,23,16.26666667,40.75,1.275,0.030708333,0.038958333,0.069666667,0.018625,1.770833333,0.018708333,NA,NA
1/27/08,7,20.9,13.6375,53.41666667,1.366666667,NA,NA,NA,0.016166667,1.295833333,0.055916667,71.66666667,71.66666667
1/28/08,8.4,22.3,15.325,44.875,1.05,0.035916667,0.049375,0.085166667,0.025916667,2.154166667,NA,90.04166667,90.04166667
1/29/08,10.5,22.9,16.5875,49.45833333,0.983333333,0.038583333,0.054291667,0.092958333,0.032416667,2.275,0.009208333,NA,NA
1/30/08,10.2,24.6,16.26666667,45.625,1.795833333,0.033166667,0.039958333,0.073125,0.023125,1.945833333,0.008416667,92.58333333,92.58333333
1/31/08,8.7,23.4,16.3,35.54166667,1.4125,0.040833333,0.039916667,0.08075,NA,NA,0.006875,75.5,75.5
2/1/08,9.2,21.9,15.175,52.91666667,1.7375,0.016666667,0.034166667,0.050625,0.022291667,1.354166667,0.006,68.45833333,68.45833333
2/2/08,9.6,23.3,16.34166667,40,0.970833333,0.031375,0.051541667,0.082708333,NA,2.208333333,0.00975,90.375,90.375
2/3/08,10.2,23.2,16.6375,41.375,1.1375,0.009333333,0.036416667,0.045541667,NA,1.775,0.009208333,80.54166667,80.54166667
2/4/08,8.9,24.4,16.34583333,33.125,1.520833333,0.018791667,0.033416667,0.052166667,NA,1.445833333,0.006125,49.75,49.75
2/5/08,9.2,24.6,16.275,34.20833333,1.5,0.044708333,0.033625,0.078166667,NA,1.933333333,NA,NA,NA
2/6/08,9,23.5,15.9,32.125,1.633333333,0.037458333,0.036291667,0.073625,NA,1.945833333,0.008375,67.41666667,67.41666667
2/7/08,9.8,21.7,15.725,40.16666667,1.166666667,NA,NA,NA,NA,NA,0.010041667,NA,NA
2/8/08,9.6,21.7,15.46666667,44.5,1.55,0.028208333,0.037458333,0.065583333,0.017416667,NA,0.007833333,70.08333333,70.08333333
2/9/08,9.5,21.1,14.47916667,49.79166667,1.316666667,0.02825,0.039666667,0.067666667,0.017791667,NA,0.007541667,64.54166667,64.54166667
2/10/08,8.2,21.2,13.85,51.95833333,1.7375,NA,NA,NA,0.022458333,NA,0.007041667,50.75,50.75
2/11/08,9,19.2,12.97083333,67.08333333,1.116666667,NA,NA,NA,NA,NA,0.008625,71.20833333,71.20833333
2/12/08,7.5,22.9,14.62083333,50.33333333,1.458333333,0.057333333,0.034833333,0.092125,NA,NA,0.004916667,55.16666667,55.16666667
2/13/08,9.3,22.6,15.25,42.5,1.683333333,NA,NA,NA,0.014541667,2.283333333,0.010666667,NA,NA
2/14/08,10,24.2,16.725,44.95833333,1.279166667,0.067208333,0.032916667,0.1,0.014708333,2.233333333,0.008791667,53.54166667,53.54166667
2/15/08,10.5,24.9,17.4125,39.66666667,1.179166667,0.032041667,0.036958333,0.068833333,0.017833333,2.245833333,NA,67.16666667,67.16666667
2/16/08,11.4,26.6,18.13333333,33.20833333,1.575,NA,NA,NA,NA,NA,0.006666667,64.875,64.875
2/17/08,9.7,26.4,17.87083333,24.79166667,1.09047619,0.023875,0.029041667,0.052791667,0.027583333,2.129166667,0.004666667,54.125,54.125
2/18/08,10.5,25.6,17.4375,33.75,1.745833333,0.030291667,0.037,0.067208333,0.023125,2.054166667,0.005625,71.375,71.375
2/19/08,9.6,24.6,16.84782609,50.16666667,1.45,NA,NA,NA,0.027458333,1.9125,NA,75.04166667,75.04166667
2/20/08,11.7,25.6,18.46666667,35.5,1.5375,0.032875,0.035666667,0.068583333,NA,NA,NA,NA,NA
2/21/08,12.3,25.1,18.04583333,34.29166667,1.591666667,0.034083333,0.034666667,0.068541667,0.0215,1.829166667,NA,65.375,65.375
2/22/08,11.9,25.3,18.6,29.41666667,1.270833333,NA,NA,NA,0.030833333,2.05,NA,NA,NA
