station,lat,lon,elev,tjan,tjul,tann,pjan,pjul,pann,idnum,Name
ANT,44.917,-120.717,846,0,20.2,9.6,41,9,322,350197,ANTELOPE 1 N USA-OR
ARL,45.717,-120.2,96,0.9,24.6,12.5,40,6,228,350265,ARLINGTON USA-OR
ASH,42.217,-122.717,543,3.1,20.8,11.1,70,7,480,350304,ASHLAND 1 N USA-OR
AST,46.15,-123.883,2,5.1,15.6,10.3,287,26,1768,350328,ASTORIA WSO           //R USA-O
BKA,44.833,-117.817,1027,-3.8,19.2,7.6,26,12,270,350412,BAKER FAA AIRPORT USA-OR
BKK,44.783,-117.833,1050,-2.8,20.2,8.4,30,17,302,350417,BAKER KBKR USA-OR
BAN,43.117,-124.383,24,7.4,14.1,10.8,270,9,1531,350471,BANDON 1 E-BATES BOG USA-OR
BND,44.067,-121.317,1097,-0.7,17.3,7.7,52,8,293,350694,BEND USA-OR
BEU,43.917,-118.167,999,-2.8,22.5,9.5,41,9,285,350723,BEULAH USA-OR
BON,45.633,-121.95,18,2.7,19.6,11.2,320,19,1944,350897,BONNEVILLE DAM USA-OR
BRO,42.05,-124.283,24,8.4,14.7,11.8,332,12,1936,351055,BROOKINGS USA-OR
BUR,43.583,-119.05,1262,-2.5,20.8,8.1,14,9,198,351176,BURNS WSO AP          //R USA-O
CBL,42.833,-124.567,64,7.7,12.2,10.2,346,13,1948,351360,CAPE BLANCO USA-OR
CHM,43.233,-121.783,1451,-3.4,15.8,5.6,126,12,642,351546,CHEMULT USA-OR
CHR,45.417,-123.25,238,2.7,17.9,10.3,258,12,1419,351552,CHERRY GROVE 2 S USA-OR
CLA,46.1,-123.283,28,3.6,17.3,10.5,262,17,1516,351643,CLATSKANIE 3 W USA-OR
CLO,45.217,-123.9,6,6.1,15.6,10.9,358,30,2160,351682,CLOVERDALE 1 NW USA-OR
CON,45.233,-120.183,863,-1,19.2,8.7,42,12,351,351765,CONDON USA-OR
COR,44.633,-123.2,69,3.9,18.7,11,192,8,1081,351862,CORVALLIS ST COLLEGE USA-OR
CGR,43.783,-123.067,198,4.5,18.2,11.1,190,8,1185,351897,COTTAGE GROVE 1 S USA-OR
CGD,43.717,-123.05,253,4.1,18.4,10.9,189,9,1224,351902,COTTAGE GROVE DAM USA-OR
CLK,42.9,-122.133,1974,-3.9,12.8,3.2,287,13,1698,351946,CRATER LAKE NP HQ USA-OR
CAL,44.933,-123.317,99,3.8,18.7,11.1,245,8,1285,352112,DALLAS USA-OR
DOR,43.783,-122.967,250,4.1,18,10.7,178,9,1186,352374,DORENA DAM USA-OR
DRA,43.667,-123.317,89,4.8,19.2,11.7,204,6,1205,352406,DRAIN USA-OR
DUF,45.45,-121.133,405,-0.2,19.4,9.6,58,5,309,352440,DUFUR USA-OR
ELG,45.567,-117.917,809,-1.4,19.5,8.7,82,14,604,352597,ELGIN USA-OR
ELK,43.6,-123.583,35,5.6,19.6,12.4,252,4,1385,352633,ELKTON 3 SW USA-OR
ENT,45.433,-117.267,1155,-4.3,17.2,6.3,24,19,332,352672,ENTERPRISE USA-OR
EST,45.267,-122.317,125,3.8,18.6,10.9,238,19,1523,352693,ESTACADA 2 SE USA-OR
EUG,44.117,-123.217,109,4.5,19.3,11.4,213,7,1169,352709,EUGENE WSO              R USA-O
FRN,44.117,-123.3,118,4.1,18.9,11.2,186,5,1031,352867,FERN RIDGE DAM USA-OR
FOR,45.533,-123.1,55,3.7,19.5,11.4,208,9,1139,352997,FOREST GROVE USA-OR
FOS,45,-120.217,808,-0.1,18.2,8.7,47,11,363,353038,FOSSIL USA-OR
GLD,42.4,-124.417,15,8.3,15,11.6,369,10,2100,353356,GOLD BEACH RANGER STA USA-OR
GRP,42.433,-123.317,282,4.4,22,12.6,164,5,821,353445,GRANTS PASS USA-OR
GRZ,44.517,-120.933,1109,-0.8,17.1,7.5,41,7,333,353542,GRIZZLY USA-OR
HAW,44.883,-117.117,814,-4.6,20.1,7.9,88,11,546,353604,HALFWAY USA-OR
HAR,42.55,-119.65,1712,-2.3,17.1,6.5,25,10,289,353692,HART MOUNTAIN REFUGE USA-OR
HED,45.45,-122.15,228,3.4,18.3,10.7,314,30,2074,353770,HEADWORKS PTLD WATER USA-OR
HEP,45.35,-119.55,594,0.6,20.6,10.3,39,8,345,353827,HEPPNER USA-OR
HER,45.817,-119.283,190,0,23.2,11.4,34,5,225,353847,HERMISTON 2 S USA-OR
HDR,45.683,-121.517,152,0.9,19.3,10.2,149,5,784,354003,HOOD RIVER EXP STATION USA-OR
HUN,44.35,-117.267,646,-1.6,26.4,11.7,49,6,321,354098,HUNTINGTON USA-OR
KNT,45.2,-120.7,825,-1.2,20,8.9,38,10,289,354411,KENT USA-OR
KLA,42.2,-121.783,1249,-1.2,20,8.8,54,5,347,354506,KLAMATH FALLS 2 SSW USA-OR
LAG,45.317,-118.083,840,-0.6,21.3,9.8,58,13,477,354622,LA GRANDE USA-OR
LKV,42.183,-120.35,1455,-2,19.4,8,60,8,401,354670,LAKEVIEW USA-OR
LEA,44.1,-122.683,206,4.3,19.2,11.4,243,12,1612,354811,LEABURG 1 SW USA-OR
MAD,44.633,-121.133,680,0.1,19.1,9.2,35,7,256,355139,MADRAS USA-OR
MLB,43.983,-117.017,683,-2.3,24,10.5,36,4,254,355160,MALHEUR BRANCH EXP STA USA-OR
MLB,43.283,-118.833,1252,-2.5,19.7,8.1,27,9,234,355162,MALHEUR REFUGE HDQ USA-OR
MCM,45.233,-123.183,45,3.9,18.6,11.1,198,9,1108,355384,MC MINNVILLE USA-OR
MED,42.367,-122.867,400,3.1,22.5,12,87,6,504,355429,MEDFORD WSO             R USA-O
MET,44.583,-121.183,762,-0.4,18.1,8.5,36,6,255,355515,METOLIUS 1 W USA-OR
MIK,45.467,-120.35,472,0.1,22.2,10.9,40,6,267,355545,MIKKALO 6 W USA-OR
MIL,45.967,-118.433,256,1.3,23.5,12.1,45,9,346,355593,MILTON FREEWATER 4 NW USA-OR
MOR,45.483,-120.717,569,-1.1,20.2,9.3,46,6,289,355734,MORO USA-OR
NEW,44.633,-124.05,47,6.3,13.8,10.2,319,20,1895,356032,NEWPORT USA-OR
NOR,43.417,-124.25,2,7.2,15,11.2,269,8,1553,356073,NORTH BEND FAA AP USA-OR
