current_fire_datetime	current_fire_Babs_bkg_fit	current_fire_Bscat_bkg_fit
2016/10/7 13:37:46	16.3073	7.19698
2016/10/7 13:37:47	23.0577	7.11998
2016/10/7 13:37:48	21.9243	7.10657
2016/10/7 13:37:49	20.7143	7.0994
2016/10/7 13:37:50	15.9213	7.59954
2016/10/7 13:37:51	13.8861	8.32307
2016/10/7 13:37:52	24.1785	7.0471
2016/10/7 13:37:53	20.9656	6.97778
2016/10/7 13:37:54	18.3713	7.36721
2016/10/7 13:37:55	19.5485	7.31206
2016/10/7 13:37:56	17.3771	6.92439
2016/10/7 13:37:57	19.0474	12.2693
2016/10/7 13:37:58	17.4395	6.97887
2016/10/7 13:37:59	22.0351	8.48817
2016/10/7 13:38:00	16.0414	7.08903
2016/10/7 13:38:01	23.7826	6.893
2016/10/7 13:38:02	20.1766	18.8198
2016/10/7 13:38:03	18.5926	7.07884
2016/10/7 13:38:04	18.9367	6.97681
2016/10/7 13:38:05	23.3766	6.94705
2016/10/7 13:38:06	20.0895	7.00994
2016/10/7 13:38:07	16.462	6.98067
2016/10/7 13:38:08	20.6568	8.50449
2016/10/7 13:38:09	18.8447	6.83533
2016/10/7 13:38:10	15.9823	6.85085
2016/10/7 13:38:11	14.4364	6.89506
2016/10/7 13:38:12	20.8695	7.03522
2016/10/7 13:38:13	18.3777	6.75436
2016/10/7 13:38:14	15.0539	6.68554
2016/10/7 13:38:15	14.987	6.89076
2016/10/7 13:38:16	17.505	7.59867
2016/10/7 13:38:17	21.6299	6.63617
2016/10/7 13:38:18	23.0723	6.85067
2016/10/7 13:38:19	21.5971	7.05723
2016/10/7 13:38:20	16.3324	6.61036
2016/10/7 13:38:21	20.9535	6.53604
2016/10/7 13:38:22	22.3953	13.4059
2016/10/7 13:38:23	21.2298	6.80269
2016/10/7 13:38:24	18.4323	6.69224
2016/10/7 13:38:25	20.0822	6.59118
2016/10/7 13:38:26	17.2853	6.70583
2016/10/7 13:38:27	19.5616	6.64885
2016/10/7 13:38:28	19.4063	6.57123
2016/10/7 13:38:29	19.5376	6.48507
2016/10/7 13:38:30	18.5321	6.46972
2016/10/7 13:38:31	14.0682	6.58326
2016/10/7 13:38:32	15.8304	6.53751
2016/10/7 13:38:33	22.8474	6.44061
2016/10/7 13:38:34	14.257	6.47603
2016/10/7 13:38:35	11.6911	6.86058
2016/10/7 13:38:36	23.9493	6.5094
2016/10/7 13:38:37	20.2374	6.26834
2016/10/7 13:38:38	16.1221	6.51165
2016/10/7 13:38:39	19.6782	7.16218
2016/10/7 13:38:40	17.0941	6.35056
2016/10/7 13:38:41	16.6717	6.57544
2016/10/7 13:38:42	14.6321	6.34157
2016/10/7 13:38:43	18.2673	6.2476
2016/10/7 13:38:44	15.3728	6.37201
2016/10/7 13:38:45	19.0583	6.48861
2016/10/7 13:38:46	18.0431	7.81542
2016/10/7 13:38:47	24.9595	6.41444
