Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:09:48.00,00:09:46.00,1,307,10,0:09:48  ,0:09:46  ,0:08:22  ,160.0,168.0,102.63647741200973,--,--,65.09112627986349,--
2,00:07:17.00,00:07:11.00,1,37,206,0:07:17  ,0:07:11  ,0:06:24  ,164.0,170.0,134.73293233970355,--,--,63.62320185614849,--
3,00:07:30.00,00:07:30.00,1,0,130,0:07:30  ,0:07:30  ,0:06:51  ,166.0,170.0,129.26425428275604,--,--,61.84168514412417,--
4,00:08:09.00,00:08:08.00,1,30,60,0:08:09  ,0:08:08  ,0:07:29  ,168.0,240.0,117.53870623870235,--,--,62.6,--
5,00:09:40.00,00:09:37.00,1,296,25,0:09:40  ,0:09:37  ,0:07:30  ,158.0,168.0,105.36926882280528,--,--,59.89844020797227,--
6,00:09:53.00,00:09:48.00,1,187,3,0:09:53  ,0:09:48  ,0:08:18  ,154.0,172.0,105.73618399642885,--,--,59.9030612244898,--
7,00:07:45.00,00:07:40.00,1,17,76,0:07:45  ,0:07:40  ,0:07:07  ,166.0,170.0,125.09443962847358,--,--,63.38652173913044,--
8,00:08:13.00,00:08:10.00,1,53,99,0:08:13  ,0:08:10  ,0:06:57  ,166.0,172.0,117.98968443659273,--,--,66.1742857142857,--
9,00:10:00.00,00:09:55.00,1,233,16,0:10:00  ,0:09:55  ,0:08:01  ,158.0,240.0,101.8569598620451,--,--,66.07899159663866,--
10,00:12:26.00,00:12:26.00,1,389,33,0:12:26  ,0:12:26  ,0:08:59  ,146.0,166.0,88.65584298837523,--,--,66.73663101604278,--
11,00:10:43.00,00:10:38.00,1,351,335,0:10:43  ,0:10:38  ,0:07:53  ,144.0,168.0,104.28589721489843,--,--,63.60721003134796,--
12,00:08:05.00,00:08:01.00,1,20,293,0:08:05  ,0:08:01  ,0:07:10  ,160.0,174.0,124.43350251187984,--,--,54.67401247401247,--
13,00:09:43.00,00:09:00.00,1,37,117,0:09:43  ,0:09:00  ,0:07:36  ,148.0,172.0,111.90996934451204,--,--,55.37838765008576,--
14,00:09:49.00,00:09:47.00,1,119,75,0:09:49  ,0:09:47  ,0:07:52  ,158.0,180.0,103.75921208357735,--,--,57.44224872231687,--
15,00:08:25.00,00:08:22.00,1,16,173,0:08:25  ,0:08:22  ,0:07:27  ,162.0,172.0,118.03006716687294,--,--,59.98605577689243,--
16,00:09:15.00,00:09:11.00,1,49,29,0:09:15  ,0:09:11  ,0:08:08  ,166.0,170.0,104.80885482385625,--,--,63.508166969147,--
17,00:09:07.00,00:09:07.00,1,3,141,0:09:07  ,0:09:07  ,0:07:33  ,154.0,174.0,114.62807515517788,--,--,66.03546617915904,--
18,00:08:44.00,00:08:40.00,1,33,186,0:08:44  ,0:08:40  ,0:07:51  ,164.0,170.0,112.36315158864592,--,--,72.34423076923078,--
19,00:10:27.00,00:10:25.00,1,107,151,0:10:27  ,0:10:25  ,0:07:50  ,152.0,170.0,101.31830557921886,--,--,73.544,--
20,00:11:54.00,00:11:41.00,1,189,31,0:11:54  ,0:11:41  ,0:08:39  ,146.0,166.0,92.62921410270015,--,--,76.51469329529243,--
21,00:13:26.00,00:13:19.00,1,169,105,0:13:26  ,0:13:19  ,0:09:54  ,138.0,166.0,86.81303084584705,--,--,73.47816377171216,--
22,00:20:49.00,00:20:46.00,1,772,185,0:20:49  ,0:20:46  ,0:12:32  ,100.0,214.0,77.31016649256907,--,--,71.95393258426967,--
23,00:14:14.00,00:14:04.00,1,188,428,0:14:14  ,0:14:04  ,0:08:27  ,136.0,188.0,83.13851593643989,--,--,72.20781990521327,--
24,00:14:51.00,00:14:49.00,1,394,352,0:14:51  ,0:14:49  ,0:10:24  ,132.0,168.0,82.10080429651629,--,--,76.24476940382452,--
25,00:14:43.00,00:14:35.00,1,78,287,0:14:43  ,0:14:35  ,0:09:17  ,138.0,234.0,79.24269859768144,--,--,75.65874285714287,--
26,00:14:15.00,00:14:07.00,1,103,269,0:14:15  ,0:14:07  ,0:10:02  ,142.0,180.0,79.53249151570608,--,--,75.51664698937427,--
27,00:12:43.00,00:12:43.00,1,62,270,0:12:43  ,0:12:43  ,0:10:53  ,150.0,176.0,84.36906767078965,--,--,75.67120418848168,--
28,00:15:34.00,00:15:29.00,1,114,78,0:15:34  ,0:15:29  ,0:10:27  ,130.0,184.0,79.52594131874382,--,--,78.47448869752422,--
29,00:20:33.00,00:16:57.00,1,125,80,0:20:33  ,0:16:57  ,0:11:20  ,104.0,168.0,75.30132724220067,--,--,83.80227457351747,--
30,00:11:51.00,00:11:50.00,1,30,52,0:11:51  ,0:11:50  ,0:11:02  ,160.0,166.0,84.88079988503759,--,--,73.99577464788732,--
31,00:13:23.00,00:13:22.00,1,10,157,0:13:23  ,0:13:22  ,0:10:04  ,158.0,168.0,76.10731745607355,--,--,73.60872817955112,--
32,00:13:22.00,00:13:17.00,1,12,160,0:13:22  ,0:13:17  ,0:10:17  ,158.0,170.0,76.20221436063224,--,--,73.6461731493099,--
33,00:11:59.00,00:11:55.00,1,21,196,0:11:59  ,0:11:55  ,0:09:18  ,154.0,172.0,87.20661628634534,--,--,82.02489510489511,--
34,00:06:48.260,00:06:44.00,0.68,57,219,0:10:00  ,0:09:53  ,0:08:30  ,160.0,172.0,100.58662952471336,--,--,78.97376237623763,--
Summary,06:25:40.00,06:21:17.00,33.69,4355,4941,0:11:27  ,0:11:19  ,0:06:26  ,146.0,240.0,94.77314487838896,--,--,70.34091007303056,4754
