x,y,Type,Name,Description
356,437,cell-site,L688,
740,360,cell-site,L698,
910,340,cell-site,L654,
1010,178,cell-site,L655,
1274,166,cell-site,L608,
862,517,cell-site,L651,
1094,524,cell-site,L689,
1162,400,cell-site,L653,
1282,432,cell-site,L652,
1582,394,cell-site,L602,
730,100,base-location,The Cliffs,Jay told the police that he and Adnan went to this spot in Patapsco State Park to smoke a blunt before Adnan went to track practice. Jay dropped this part of the
1100,185,base-location,Cathy's apartment,Jay and Adnan went to Cathy's apartment in the early evening on January 13th. Jay said they were there when a police officer called Adnan looking for Hae. 
814,550,base-location,Best Buy,Jay told the police in his second interview that Adnan showed him Hae's body in the trunk of her car here.   
884,566,base-location,Woodlawn High School,Hae and Adnan were seniors in the magnet program here. Jay had graduated from the regular high school program a year ahead of them.
820,344,base-location,Jay's House,
892,378,base-location,Westview Shopping Center,"Jay told the police that Adnan threw Hae's wallet and car keys, as well as the shovels they used, into dumpsters at this mall. "
1030,458,base-location,I-70 Park and Ride,"Jay told the police that Adnan left Hae's body in the trunk of her car at this Park and Ride, before going back to school for track practice.  "
1090,464,base-location,Hae's body,Hae's body was found 127 feet from Franklintown Road.   
1230,394,base-location,Hae's car,Jay told the police that Adnan ditched Hae's car in a grassy parking area here after burying her in Leakin Park.     
1328,424,base-location,Intersection where Adnan shows Jay Hae's body,Jay told the police in his first interview that Adnan showed him Hae's body in the trunk of her car here. 
1158,622,base-location,Forest Park,"Jay told the police in his second interview that he and Adnan drove to this neighborhood to buy weed, after leaving Hae's car at the Park and Ride.  "
960,830,base-location,Campfield Early Learning Center,Hae was supposed to pick up her cousin here around 3:15 p.m.
580,1230,base-location,Owings Mills Mall,Hae worked at the LensCrafters in this mall. She may have been headed here after school to leave a note for Don.  
720,496,base-location,Adnan's house,
954,410,base-location,Jenn's house,
