pos	nA	nC	nG	nT	GCsk	TAsk	cGCsk	cTAsk
500	307	153	192	348	39	41	39	41
1500	310	169	207	314	38	4	77	45
2500	319	167	177	337	10	18	87	63
3500	373	164	168	295	4	-78	91	-15
4500	330	175	224	271	49	-59	140	-74
5500	339	188	210	263	22	-76	162	-150
6500	341	173	196	290	23	-51	185	-201
7500	294	194	185	327	-9	33	176	-168
8500	298	199	195	308	-4	10	172	-158
9500	282	227	184	307	-43	25	129	-133
10500	274	183	202	341	19	67	148	-66
11500	282	191	201	326	10	44	158	-22
12500	296	180	202	322	22	26	180	4
13500	287	180	254	279	74	-8	254	-4
14500	320	172	177	331	5	11	259	7
15500	277	190	222	311	32	34	291	41
16500	301	194	219	286	25	-15	316	26
17500	307	196	203	294	7	-13	323	13
18500	280	178	229	313	51	33	374	46
19500	319	163	196	322	33	3	407	49
20500	275	181	172	372	-9	97	398	146
21500	261	170	211	358	41	97	439	243
22500	339	174	206	281	32	-58	471	185
23500	351	160	175	314	15	-37	486	148
24500	317	163	218	302	55	-15	541	133
25500	268	175	210	347	35	79	576	212
26500	288	170	195	347	25	59	601	271
27500	299	180	233	288	53	-11	654	260
28500	331	188	197	284	9	-47	663	213
29500	336	181	183	300	2	-36	665	177
30500	287	212	194	307	-18	20	647	197
31500	252	160	230	358	70	106	717	303
32500	253	192	229	326	37	73	754	376
33500	323	223	181	273	-42	-50	712	326
34500	319	168	204	309	36	-10	748	316
35500	338	156	218	288	62	-50	810	266
36500	329	171	221	279	50	-50	860	216
37500	304	145	204	347	59	43	919	259
38500	259	200	191	350	-9	91	910	350
39500	277	195	193	335	-2	58	908	408
40500	314	186	207	293	21	-21	929	387
41500	334	166	189	311	23	-23	952	364
42500	321	169	186	324	17	3	969	367
43500	308	163	177	352	14	44	983	411
44500	320	179	170	331	-9	11	974	422
45500	301	177	199	323	22	22	996	444
46500	307	152	226	315	74	8	1070	452
47500	292	157	226	325	69	33	1139	485
48500	309	153	202	336	49	27	1188	512
49500	326	191	189	294	-2	-32	1186	480
50500	338	196	153	313	-43	-25	1143	455
51500	289	145	206	360	61	71	1204	526
52500	312	163	161	364	-2	52	1202	578
53500	339	173	193	295	20	-44	1222	534
54500	317	167	228	288	61	-29	1283	505
55500	266	181	230	323	49	57	1332	562
56500	255	173	246	326	73	71	1405	633
57500	305	150	192	353	42	48	1447	681
58500	323	192	156	329	-36	6	1411	687
59500	271	224	171	334	-53	63	1358	750
60500	284	200	188	328	-12	44	1346	794
61500	309	176	182	333	6	24	1352	818
62500	312	169	212	307	43	-5	1395	813
63500	316	194	198	292	4	-24	1399	789
64500	296	182	186	336	4	40	1403	829
65500	271	194	214	321	20	50	1423	879
66500	317	206	218	259	12	-58	1435	821
67500	276	188	184	352	-4	76	1431	897
68500	312	198	191	299	-7	-13	1424	884
69500	337	182	201	280	19	-57	1443	827
70500	302	176	158	364	-18	62	1425	889
71500	320	168	168	344	0	24	1425	913
72500	369	143	164	324	21	-45	1446	868
73500	330	183	211	276	28	-54	1474	814
74500	339	178	205	278	27	-61	1501	753
75500	340	181	197	282	16	-58	1517	695
76500	365	151	195	289	44	-76	1561	619
77500	268	211	201	320	-10	52	1551	671
78500	271	179	207	343	28	72	1579	743
79500	294	192	192	322	0	28	1579	771
80500	291	182	224	303	42	12	1621	783
81500	307	190	199	304	9	-3	1630	780
82500	291	200	237	272	37	-19	1667	761
83500	266	186	214	334	28	68	1695	829
84500	295	185	220	300	35	5	1730	834
85500	282	207	223	288	16	6	1746	840
86500	260	207	220	313	13	53	1759	893
87500	284	196	237	283	41	-1	1800	892
88500	279	177	254	290	77	11	1877	903
89500	319	162	205	314	43	-5	1920	898
90500	322	187	185	306	-2	-16	1918	882
91500	272	223	198	307	-25	35	1893	917
92500	309	162	189	340	27	31	1920	948
93500	306	153	242	299	89	-7	2009	941
94500	274	170	272	284	102	10	2111	951
95500	283	191	227	299	36	16	2147	967
96500	275	180	247	298	67	23	2214	990
97500	320	160	202	318	42	-2	2256	988
98500	321	181	195	303	14	-18	2270	970
99500	305	167	201	327	34	22	2304	992
100500	280	210	212	298	2	18	2306	1010
101500	332	199	199	270	0	-62	2306	948
102500	282	179	202	337	23	55	2329	1003
103500	282	161	208	349	47	67	2376	1070
104500	268	168	213	351	45	83	2421	1153
105500	281	192	205	322	13	41	2434	1194
106500	297	169	196	338	27	41	2461	1235
107500	295	196	198	311	2	16	2463	1251
108500	315	165	197	323	32	8	2495	1259
109500	310	148	204	338	56	28	2551	1287
110500	320	169	205	306	36	-14	2587	1273
111500	311	163	198	328	35	17	2622	1290
112500	314	163	246	277	83	-37	2705	1253
113500	289	194	231	286	37	-3	2742	1250
114500	291	174	244	291	70	0	2812	1250
115500	289	149	263	299	114	10	2926	1260
116500	330	151	196	323	45	-7	2971	1253
117500	329	166	201	304	35	-25	3006	1228
118500	298	182	237	283	55	-15	3061	1213
119500	320	163	201	316	38	-4	3099	1209
120500	273	213	195	319	-18	46	3081	1255
121500	259	198	209	334	11	75	3092	1330
122500	248	192	205	355	13	107	3105	1437
123500	282	193	214	311	21	29	3126	1466
124500	291	187	203	319	16	28	3142	1494
125500	242	225	218	315	-7	73	3135	1567
126500	298	172	198	332	26	34	3161	1601
127500	317	160	177	346	17	29	3178	1630
128500	374	170	189	267	19	-107	3197	1523
129500	331	192	223	254	31	-77	3228	1446
130500	316	176	194	314	18	-2	3246	1444
131500	300	188	167	345	-21	45	3225	1489
132500	323	170	197	310	27	-13	3252	1476
133500	332	169	194	305	25	-27	3277	1449
134500	310	179	184	327	5	17	3282	1466
135500	300	198	163	339	-35	39	3247	1505
136500	299	195	166	340	-29	41	3218	1546
137500	251	207	217	325	10	74	3228	1620
138500	289	182	201	328	19	39	3247	1659
139500	322	167	185	326	18	4	3265	1663
140500	310	162	181	347	19	37	3284	1700
141500	294	175	202	329	27	35	3311	1735
142500	279	216	222	283	6	4	3317	1739
143500	253	213	222	312	9	59	3326	1798
144500	261	223	207	309	-16	48	3310	1846
145500	261	242	188	309	-54	48	3256	1894
146500	280	167	220	333	53	53	3309	1947
147500	277	166	208	349	42	72	3351	2019
148500	232	164	233	371	69	139	3420	2158
149500	267	187	244	302	57	35	3477	2193
150500	295	185	246	274	61	-21	3538	2172
151500	272	199	196	333	-3	61	3535	2233
152500	288	178	216	318	38	30	3573	2263
153500	324	168	193	315	25	-9	3598	2254
154500	354	167	179	300	12	-54	3610	2200
155500	364	171	200	265	29	-99	3639	2101
156500	277	216	198	309	-18	32	3621	2133
157500	253	239	223	285	-16	32	3605	2165
158500	263	226	200	311	-26	48	3579	2213
159500	280	241	212	267	-29	-13	3550	2200
160500	274	230	212	284	-18	10	3532	2210
161500	331	189	180	300	-9	-31	3523	2179
162500	302	193	215	290	22	-12	3545	2167
163500	325	182	219	274	37	-51	3582	2116
164500	277	202	179	342	-23	65	3559	2181
165500	342	199	195	264	-4	-78	3555	2103
166500	332	182	200	286	18	-46	3573	2057
167500	267	176	178	379	2	112	3575	2169
168500	265	196	183	356	-13	91	3562	2260
169500	263	182	197	358	15	95	3577	2355
170500	269	181	203	347	22	78	3599	2433
171500	249	190	214	347	24	98	3623	2531
172500	275	190	184	351	-6	76	3617	2607
173500	267	229	205	299	-24	32	3593	2639
174500	283	225	228	264	3	-19	3596	2620
175500	265	224	210	301	-14	36	3582	2656
176500	270	238	215	277	-23	7	3559	2663
177500	250	232	222	296	-10	46	3549	2709
178500	296	194	208	302	14	6	3563	2715
179500	262	199	223	316	24	54	3587	2769
180500	313	205	204	278	-1	-35	3586	2734
181500	260	206	241	293	35	33	3621	2767
182500	292	221	228	259	7	-33	3628	2734
183500	345	164	168	323	4	-22	3632	2712
184500	399	194	158	249	-36	-150	3596	2562
185500	364	201	184	251	-17	-113	3579	2449
186500	350	210	161	279	-49	-71	3530	2378
187500	366	221	159	254	-62	-112	3468	2266
188500	344	204	201	251	-3	-93	3465	2173
189500	355	180	171	294	-9	-61	3456	2112
190500	388	272	85	255	-187	-133	3269	1979
